[	INFO]	[1534924432.031206486]:	W_	x	=					1.561989
[	INFO]	[1534924432.131206174]:	W_	x	=					1.582503
[	INFO]	[1534924432.231201955]:	W_	x	=					1.603016
[	INFO]	[1534924432.331318465]:	W_	x	=					1.623529
[	INFO]	[1534924432.431204195]:	W_	x	=					1.664555
[INFO]	[1534924432.488906]:	required_linear_vel1	:	0.250000,	millis():					1.685068
[INFO]	[1534924432.498778]:	ML_rpm2	:	37,	MR_rpm:					1.705584
[	INFO]	[1534924432.531325705]:	W_	x	=					1.726097
[	INFO]	[1534924432.631208674]:	W_	x	=					1.746609
[	INFO]	[1534924432.731202371]:	W_	x	=					1.767123
[	INFO]	[1534924432.831205913]:	W_	x	=					1.787637
[	INFO]	[1534924432.931202840]:	W_	x	=					1.828655
[	INFO]	[1534924433.031203882]:	W_	x	=					1.849167
[	INFO]	[1534924433.131124611]:	W_	x	=					1.869681
[	INFO]	[1534924433.231203569]:	W_	x	=					1.890195
[	INFO]	[1534924433.331200861]:	W_	x	=					1.910708
[	INFO]	[1534924433.431218830]:	W_	x	=					1.931221
[INFO]	[1534924433.504808]:	required_linear_vel1	:	0.250000,	millis():					1.951742
[INFO]	[1534924433.513732]:	ML_rpm2	:	37,	MR_rpm:					1.972256
[	INFO]	[1534924433.531201694]:	W_	x	=					1.992768
[	INFO]	[1534924433.631206277]:	W_	x	=					2.013283
[	INFO]	[1534924433.731200184]:	W_	x	=					2.033796
[	INFO]	[1534924433.831126486]:	W_	x	=					2.054309
[	INFO]	[1534924433.931215965]:	W_	x	=					2.074822
[	INFO]	[1534924434.031205965]:	W_	x	=					2.115849
[	INFO]	[1534924434.131213465]:	W_	x	=					2.136363
[	INFO]	[1534924434.231213777]:	W_	x	=					2.156876
[	INFO]	[1534924434.331206850]:	W_	x	=					2.177389
[	INFO]	[1534924434.431212006]:	W_	x	=					2.197903
[INFO]	[1534924434.521935]:	required_linear_vel1	:	0.250000,	millis():	11.386711				2.218417
[	INFO]	[1534924434.531129715]:	W_	x	=	11.382392				2.238932
[INFO]	[1534924434.534793]:	ML_rpm2	:	37,	MR_rpm:	11.378074				2.279958
[	INFO]	[1534924434.631211329]:	W_	x	=	11.369437				2.30047
[	INFO]	[1534924434.731206173]:	W_	x	=	11.365121				2.320984
[	INFO]	[1534924434.831208881]:	W_	x	=	11.360804				2.341497
[	INFO]	[1534924434.931208725]:	W_	x	=	11.356482				2.362011
[	INFO]	[1534924435.031211954]:	W_	x	=	11.352166				2.382524
[	INFO]	[1534924435.131170183]:	W_	x	=	11.347847				2.403036
[	INFO]	[1534924435.231202006]:	W_	x	=	11.343531				2.444063
[	INFO]	[1534924435.331204141]:	W_	x	=	11.339205				2.464569
[	INFO]	[1534924435.431199037]:	W_	x	=	11.334889				2.485069
[WARN]	[1534924435.515950]:	The	voltage	is	lower	11.330568	11.3V,Please	charge!		2.505581
[	INFO]	[1534924435.531207058]:	W_	x	=	11.32625				2.526095
[INFO]	[1534924435.538833]:	required_linear_vel1	:	0.250000,	millis():	11.321931				2.54661
[INFO]	[1534924435.547774]:	ML_rpm2	:	37,	MR_rpm:	11.317613				2.567135
[	INFO]	[1534924435.631208412]:	W_	x	=	11.308975				2.587651
[	INFO]	[1534924435.731206693]:	W_	x	=	11.304656				2.608162
[	INFO]	[1534924435.831130495]:	W_	x	=	11.300337				2.628677
[	INFO]	[1534924435.931208672]:	W_	x	=	11.296019				2.649193
[	INFO]	[1534924436.031208724]:	W_	x	=	11.291701				2.66969
[	INFO]	[1534924436.131208308]:	W_	x	=	11.287382				2.690187
[	INFO]	[1534924436.231205912]:	W_	x	=	11.283063				2.731214
[	INFO]	[1534924436.331209558]:	W_	x	=	11.274426				2.751724
[	INFO]	[1534924436.431212578]:	W_	x	=	11.270108				2.77224
[	INFO]	[1534924436.531126276]:	W_	x	=	11.265791				2.792755
[INFO]	[1534924436.556432]:	required_linear_vel1	:	0.250000,	millis():	11.261472				2.813268
[INFO]	[1534924436.565426]:	ML_rpm2	:	37,	MR_rpm:	11.257153				2.833778
[	INFO]	[1534924436.631213932]:	W_	x	=	11.252834				2.854288
[	INFO]	[1534924436.731207682]:	W_	x	=	11.248515				2.895314
[	INFO]	[1534924436.831209766]:	W_	x	=	11.244195				2.915813
[	INFO]	[1534924436.931207630]:	W_	x	=	11.203177				2.936326
[	INFO]	[1534924437.031214141]:	W_	x	=	11.182663				2.95684
[	INFO]	[1534924437.131207422]:	W_	x	=	11.162149				2.977353
[	INFO]	[1534924437.231154714]:	W_	x	=	11.141636				2.997867
[	INFO]	[1534924437.331365651]:	W_	x	=	11.121122				3.018381
[	INFO]	[1534924437.431326380]:	W_	x	=	11.100609				3.059408
[	INFO]	[1534924437.531206484]:	W_	x	=	11.059583				3.07992
[INFO]	[1534924437.574007]:	required_linear_vel1	:	0.250000,	millis():	11.039068				3.100433
[INFO]	[1534924437.586811]:	ML_rpm2	:	37,	MR_rpm:	11.018553				3.120946
[	INFO]	[1534924437.631321953]:	W_	x	=	10.998042				3.141459
[	INFO]	[1534924437.731321640]:	W_	x	=	10.977541				3.161972
[	INFO]	[1534924437.831279557]:	W_	x	=	10.957023				3.202992
[	INFO]	[1534924437.931324557]:	W_	x	=	10.936502				3.223512
[	INFO]	[1534924438.031333099]:	W_	x	=	10.915981				3.244016
[	INFO]	[1534924438.131324140]:	W_	x	=	10.895466				3.26454
[	INFO]	[1534924438.231327057]:	W_	x	=	10.874962				3.285052
[	INFO]	[1534924438.331359296]:	W_	x	=	10.854447				3.305567
