obstacle_x 1.7672 obstacle_y 0.692003  x = 0.301318 y = 0.0310461
obstacle_x 1.76358 obstacle_y 0.721327  x = 0.301318 y = 0.0310461
else R = 11.6332
obstacle_x 1.6961 obstacle_y -0.010213  x = 0.317725 y = 0.0314099
obstacle_x 1.70371 obstacle_y 0.0379498  x = 0.317725 y = 0.0314099
obstacle_x 1.70338 obstacle_y 0.0621376  x = 0.317725 y = 0.0314099
obstacle_x 1.70364 obstacle_y 0.0863556  x = 0.317725 y = 0.0314099
obstacle_x 1.70546 obstacle_y 0.110706  x = 0.317725 y = 0.0314099
obstacle_x 1.70486 obstacle_y 0.134988  x = 0.317725 y = 0.0314099
obstacle_x 1.70284 obstacle_y 0.159181  x = 0.317725 y = 0.0314099
obstacle_x 1.77736 obstacle_y 0.570487  x = 0.317725 y = 0.0314099
obstacle_x 1.77425 obstacle_y 0.598418  x = 0.317725 y = 0.0314099
obstacle_x 1.77339 obstacle_y 0.627541  x = 0.317725 y = 0.0314099
obstacle_x 1.77562 obstacle_y 0.658386  x = 0.317725 y = 0.0314099
obstacle_x 1.76355 obstacle_y 0.683324  x = 0.317725 y = 0.0314099
obstacle_x 1.73839 obstacle_y 0.702054  x = 0.317725 y = 0.0314099
obstacle_x 1.74619 obstacle_y 0.736483  x = 0.317725 y = 0.0314099
else R = 6.96562
obstacle_x 1.72891 obstacle_y -0.00948536  x = 0.350538 y = 0.0321375
obstacle_x 1.73652 obstacle_y 0.0386775  x = 0.350538 y = 0.0321375
obstacle_x 1.7362 obstacle_y 0.0628653  x = 0.350538 y = 0.0321375
obstacle_x 1.73645 obstacle_y 0.0870833  x = 0.350538 y = 0.0321375
obstacle_x 1.73827 obstacle_y 0.111434  x = 0.350538 y = 0.0321375
obstacle_x 1.73768 obstacle_y 0.135715  x = 0.350538 y = 0.0321375
obstacle_x 1.73566 obstacle_y 0.159908  x = 0.350538 y = 0.0321375
obstacle_x 1.81017 obstacle_y 0.571214  x = 0.350538 y = 0.0321375
obstacle_x 1.80706 obstacle_y 0.599146  x = 0.350538 y = 0.0321375
obstacle_x 1.8062 obstacle_y 0.628269  x = 0.350538 y = 0.0321375
obstacle_x 1.80844 obstacle_y 0.659114  x = 0.350538 y = 0.0321375
obstacle_x 1.79636 obstacle_y 0.684051  x = 0.350538 y = 0.0321375
obstacle_x 1.7712 obstacle_y 0.702782  x = 0.350538 y = 0.0321375
obstacle_x 1.77901 obstacle_y 0.737211  x = 0.350538 y = 0.0321375
else R = 6.96562
obstacle_x 1.72012 obstacle_y -0.0147432  x = 0.366941 y = 0.0325013
obstacle_x 1.72794 obstacle_y 0.0325108  x = 0.366941 y = 0.0325013
obstacle_x 1.72873 obstacle_y 0.056281  x = 0.366941 y = 0.0325013
obstacle_x 1.72511 obstacle_y 0.0799392  x = 0.366941 y = 0.0325013
obstacle_x 1.72907 obstacle_y 0.103897  x = 0.366941 y = 0.0325013
obstacle_x 1.73061 obstacle_y 0.127868  x = 0.366941 y = 0.0325013
obstacle_x 1.73471 obstacle_y 0.152176  x = 0.366941 y = 0.0325013
obstacle_x 1.83249 obstacle_y 0.537142  x = 0.366941 y = 0.0325013
obstacle_x 1.80749 obstacle_y 0.556828  x = 0.366941 y = 0.0325013
obstacle_x 1.80278 obstacle_y 0.583681  x = 0.366941 y = 0.0325013
obstacle_x 1.79295 obstacle_y 0.608656  x = 0.366941 y = 0.0325013
obstacle_x 1.79648 obstacle_y 0.639317  x = 0.366941 y = 0.0325013
obstacle_x 1.79115 obstacle_y 0.666614  x = 0.366941 y = 0.0325013
obstacle_x 1.78531 obstacle_y 0.693909  x = 0.366941 y = 0.0325013
obstacle_x 1.76456 obstacle_y 0.714178  x = 0.366941 y = 0.0325013
else R = 6.35183
obstacle_x 1.70839 obstacle_y -0.0177195  x = 0.383348 y = 0.0327878
obstacle_x 1.71434 obstacle_y 0.0285385  x = 0.383348 y = 0.0327878
obstacle_x 1.71821 obstacle_y 0.0518252  x = 0.383348 y = 0.0327878
obstacle_x 1.71768 obstacle_y 0.0751189  x = 0.383348 y = 0.0327878
obstacle_x 1.71574 obstacle_y 0.0983505  x = 0.383348 y = 0.0327878
obstacle_x 1.72038 obstacle_y 0.121993  x = 0.383348 y = 0.0327878
obstacle_x 1.71762 obstacle_y 0.14523  x = 0.383348 y = 0.0327878
obstacle_x 1.71645 obstacle_y 0.168601  x = 0.383348 y = 0.0327878
obstacle_x 1.80769 obstacle_y 0.546062  x = 0.383348 y = 0.0327878
obstacle_x 1.79197 obstacle_y 0.568354  x = 0.383348 y = 0.0327878
obstacle_x 1.78984 obstacle_y 0.595829  x = 0.383348 y = 0.0327878
obstacle_x 1.78809 obstacle_y 0.62378  x = 0.383348 y = 0.0327878
obstacle_x 1.78305 obstacle_y 0.650629  x = 0.383348 y = 0.0327878
obstacle_x 1.77478 obstacle_y 0.676223  x = 0.383348 y = 0.0327878
obstacle_x 1.78224 obstacle_y 0.709554  x = 0.383348 y = 0.0327878
obstacle_x 1.75326 obstacle_y 0.725293  x = 0.383348 y = 0.0327878
else R = 5.71833
obstacle_x 1.7305 obstacle_y -0.0252687  x = 0.405488 y = 0.0257788
obstacle_x 1.73019 obstacle_y -0.00211515  x = 0.405488 y = 0.0257788
obstacle_x 1.74036 obstacle_y 0.0442719  x = 0.405488 y = 0.0257788
obstacle_x 1.73983 obstacle_y 0.0675659  x = 0.405488 y = 0.0257788
obstacle_x 1.7379 obstacle_y 0.0907983  x = 0.405488 y = 0.0257788
obstacle_x 1.74255 obstacle_y 0.114439  x = 0.405488 y = 0.0257788
obstacle_x 1.7398 obstacle_y 0.137677  x = 0.405488 y = 0.0257788
obstacle_x 1.73864 obstacle_y 0.161048  x = 0.405488 y = 0.0257788
obstacle_x 1.83004 obstacle_y 0.538472  x = 0.405488 y = 0.0257788
obstacle_x 1.81433 obstacle_y 0.560771  x = 0.405488 y = 0.0257788
obstacle_x 1.81221 obstacle_y 0.588247  x = 0.405488 y = 0.0257788
obstacle_x 1.81047 obstacle_y 0.616198  x = 0.405488 y = 0.0257788
obstacle_x 1.80544 obstacle_y 0.64305  x = 0.405488 y = 0.0257788
obstacle_x 1.79718 obstacle_y 0.668646  x = 0.405488 y = 0.0257788
obstacle_x 1.80466 obstacle_y 0.701975  x = 0.405488 y = 0.0257788
obstacle_x 1.77568 obstacle_y 0.717726  x = 0.405488 y = 0.0257788
else R = 5.71789
obstacle_x 1.72979 obstacle_y -0.00367792  x = 0.427977 y = 0.0183713
obstacle_x 1.73777 obstacle_y 0.0419119  x = 0.427977 y = 0.0183713
obstacle_x 1.73815 obstacle_y 0.0648027  x = 0.427977 y = 0.0183713
obstacle_x 1.73415 obstacle_y 0.0875028  x = 0.427977 y = 0.0183713
obstacle_x 1.73673 obstacle_y 0.110569  x = 0.427977 y = 0.0183713
obstacle_x 1.73791 obstacle_y 0.133659  x = 0.427977 y = 0.0183713
obstacle_x 1.73869 obstacle_y 0.156818  x = 0.427977 y = 0.0183713
obstacle_x 1.73508 obstacle_y 0.17955  x = 0.427977 y = 0.0183713
obstacle_x 1.84114 obstacle_y 0.561672  x = 0.427977 y = 0.0183713
obstacle_x 1.80085 obstacle_y 0.573874  x = 0.427977 y = 0.0183713
obstacle_x 1.80383 obstacle_y 0.603227  x = 0.427977 y = 0.0183713
obstacle_x 1.79707 obstacle_y 0.628778  x = 0.427977 y = 0.0183713
obstacle_x 1.79164 obstacle_y 0.655118  x = 0.427977 y = 0.0183713
obstacle_x 1.78931 obstacle_y 0.683208  x = 0.427977 y = 0.0183713
obstacle_x 1.78729 obstacle_y 0.711864  x = 0.427977 y = 0.0183713
obstacle_x 1.76527 obstacle_y 0.730313  x = 0.427977 y = 0.0183713
else R = 5.23446
obstacle_x 1.72403 obstacle_y -0.0112529  x = 0.444384 y = 0.0186662
obstacle_x 1.7203 obstacle_y 0.0333784  x = 0.444384 y = 0.0186662
obstacle_x 1.72185 obstacle_y 0.0557019  x = 0.444384 y = 0.0186662
obstacle_x 1.723 obstacle_y 0.0780839  x = 0.444384 y = 0.0186662
obstacle_x 1.72576 obstacle_y 0.100645  x = 0.444384 y = 0.0186662
obstacle_x 1.72813 obstacle_y 0.123321  x = 0.444384 y = 0.0186662
obstacle_x 1.72411 obstacle_y 0.145512  x = 0.444384 y = 0.0186662
obstacle_x 1.7217 obstacle_y 0.167827  x = 0.444384 y = 0.0186662
obstacle_x 1.82081 obstacle_y 0.565315  x = 0.444384 y = 0.0186662
obstacle_x 1.79537 obstacle_y 0.582704  x = 0.444384 y = 0.0186662
obstacle_x 1.79265 obstacle_y 0.609407  x = 0.444384 y = 0.0186662
obstacle_x 1.78667 obstacle_y 0.634934  x = 0.444384 y = 0.0186662
obstacle_x 1.78653 obstacle_y 0.663462  x = 0.444384 y = 0.0186662
obstacle_x 1.77597 obstacle_y 0.687237  x = 0.444384 y = 0.0186662
obstacle_x 1.78092 obstacle_y 0.719195  x = 0.444384 y = 0.0186662
obstacle_x 1.75182 obstacle_y 0.733301  x = 0.444384 y = 0.0186662
else R = 4.80379
