else R = 3.3522
else R = 3.3522
else R = 3.18715
else R = 3.03015
else R = 3.0051
else R = 3.0051
else R = 2.72857
else R = 2.5981
else R = 2.59537
else R = 3.2249
else R = 2.32253
else R = 2.16532
else R = 2.16401
else R = 2.87865
else R = 2.63756
else R = 2.63521
else R = 2.46323
else R = 1.70188
else R = 2.20677
else R = 2.20516
else R = 2.05243
else R = 2.00949
else R = 1.64692
else R = 1.64714
else R = 1.5636
else R = 1.68939
else R = 1.68871
else R = 1.48935
else R = 1.32327
else R = 1.17344
else R = 1.17737
else R = 1.31867
else R = 1.22522
else R = 1.0938
else R = 1.09691
else R = 1.04089
else R = 1.00579
else R = 1.01221
else R = 1.02491
